Kinase Uniprot ID	Kinase Name	Mean Specificity Score	Mean Significance Score	Mean Final Score	Median Final score	Mean Kinase Statistic	Median Kinase Statistic	SD Kinase Statitistic	Mean peptide set size
Q9UBS0	p70S6K[beta]	2.02254984680162	0.96657624451305	2.98912609131468	3.06348625752111	-2.17943085985586	-2.17187518017824	0.159296016319893	20.1111111111111
O15111	IKK[alpha]	1.37481854463078	0.96657624451305	2.34139478914383	2.46142626619314	-2.7154850572455	-2.83429747617677	0.17821862839691	3.66666666666667
O15264	p38[delta]	1.42493851638135	0.96657624451305	2.39151476089441	2.46142626619314	-2.65257637063092	-2.60932963609571	0.107037160779033	4.66666666666667
P24941	CDK2	1.45313694457202	0.96657624451305	2.41971318908507	2.46142626619314	-2.77587820134007	-2.75490905435355	0.0554791481315018	3.85714285714286
P27361	ERK1	1.43749263757727	0.96657624451305	2.40406888209032	2.37001394533582	-2.53602328647137	-2.55876444860344	0.266321816233447	4.75
O94921	PFTAIRE1	1.26194129817045	0.96657624451305	2.2285175426835	2.25057290087825	-2.79662486055599	-2.79662486055599	0	3
P11802	CDK4	1.2839966563652	0.96657624451305	2.25057290087825	2.25057290087825	-2.78626686157263	-2.78626686157263	NA	3
P45983	JNK1	1.23479737660772	0.96657624451305	2.20137362112077	2.21838821750685	-2.37269370427553	-2.37091419186276	0.00533853723831464	6.88888888888889
P45984	JNK2	1.10052181447256	0.96657624451305	2.06709805898561	2.16039627052916	-2.31158379763607	-2.37091419186276	0.122537505607511	6.33333333333333
P53779	JNK3	1.22267021333826	0.96657624451305	2.18924645785131	2.16039627052916	-2.3744732166883	-2.37091419186276	0.00706222094871905	6.77777777777778
Q9HBY8	SGK2	1.15031738509663	0.96657624451305	2.11689362960968	2.13406733180681	-2.23149097878591	-2.13422929397788	0.242454560342163	12
Q16539	MAPK14	1.11454156365799	0.96657624451305	2.08111780817104	2.09989735055026	-2.44394074031043	-2.41186929590689	0.0496848680254982	4.66666666666667
P49674	CK1[epsilon]	1.13076828026902	0.96657624451305	2.09734452478207	2.09734452478207	-2.6893698621566	-2.6893698621566	NA	3
P17612	PKA[alpha]	0.942906707668548	0.96657624451305	1.9094829521816	2.02209357236288	-1.83709678692655	-1.82936951268319	0.0376517155031842	38.7777777777778
P48729	CK1[alpha]	0.925324502453832	0.96657624451305	1.89190074696688	1.99344839091335	-2.22463633629115	-2.28248259186256	0.1241406219901	6
P16066	ANP[alpha]	0.977753468133921	0.96657624451305	1.94432971264697	1.96657624451305	-2.04088432381884	-2.06434615799016	0.0383761804505847	14.3333333333333
Q16644	MAPKAPK3	0.937314749727266	0.96657624451305	1.90389099424032	1.9331524890261	-1.94201343126718	-1.90387925616296	0.120591717887037	22.1111111111111
P28482	ERK2	0.943944211668154	0.96657624451305	1.9105204561812	1.90967139317658	-2.38890801212628	-2.27332107373637	0.263659769743353	4.66666666666667
P51817	PRKX	0.863176100824255	0.96657624451305	1.82975234533731	1.90967139317658	-1.89492890697468	-1.88356945119458	0.0384462309889454	24.5555555555556
Q13164	ERK5	0.895623883191511	0.96657624451305	1.86220012770456	1.8802164138383	-2.40033963055428	-2.33314437558583	0.0920108922588293	3.6
Q13237	PKG2	0.88622922249844	0.96657624451305	1.85280546701149	1.8802164138383	-1.88816248565252	-1.9132161339116	0.0488258177972401	27.8888888888889
O43930	PRKY	0.805883149393631	0.96657624451305	1.77245939390668	1.79631452911809	-2.1629510212684	-2.11948478744617	0.156810607921262	7.66666666666667
O76039	CDKL5	0.801656282003765	0.96657624451305	1.76823252651682	1.76823252651682	-2.2855268032285	-2.2855268032285	0	4
P53778	p38[gamma]	0.739928612014925	0.96657624451305	1.70650485652798	1.70650485652798	-2.27616065542792	-2.27616065542792	NA	3
Q16566	CaMK4	0.63780781842477	0.96657624451305	1.60438406293782	1.64851290955029	-1.96389153318245	-2.01546111891863	0.0802181111339584	10.7777777777778
O14920	IKK[beta]	0.666570600323241	0.96657624451305	1.63314684483629	1.62811975090845	-2.17525154368697	-2.17419664854673	0.00410957813968978	3.66666666666667
P23443	p70S6K	0.65203039320509	0.96657624451305	1.61860663771814	1.61632822617889	-1.91989413562171	-1.97608382201339	0.147181104700343	11.4444444444444
P06493	CDC2/CDK1	0.500010740994147	0.96657624451305	1.4665869855072	1.56517570373151	-1.98248403298826	-2.14672655903751	0.204846420271524	4.28571428571429
Q96Q40	PFTAIRE2	0.517816753550799	0.935415859526139	1.45323261307694	1.52566716244783	-1.95687714403045	-2.03831354275618	0.219772591760909	4.55555555555556
Q13976	PKG1	0.542062383312485	0.96657624451305	1.50863862782554	1.51325790446601	-1.79953116049605	-1.81294133018268	0.0786974618570215	31.8888888888889
P49841	GSK3[beta]	0.514359487010659	0.96657624451305	1.48093573152371	1.48945498979339	-2.04709345978397	-2.04709345978397	0	3
P15056	BRAF	0.51427857351842	0.96657624451305	1.48085481803147	1.48085481803147	-1.92531865415231	-1.92531865415231	NA	3
P49137	MAPKAPK2	0.625449368191843	0.96657624451305	1.59202561270489	1.47802552801261	-1.88550465180689	-1.82444872209075	0.169609907156311	19.1111111111111
P68400	CK2[alpha]1	0.431539713773752	0.96657624451305	1.3981159582868	1.39837452044606	-1.93598783366325	-1.93598783366325	0	3
Q13153	PAK1	0.42683697310772	0.96657624451305	1.39341321762077	1.39138839958539	-1.88680330873004	-1.88680330873004	0	4
Q9UIK4	DAPK2	0.401125438047528	0.96657624451305	1.36770168256058	1.36888105858754	-1.85892104187504	-1.85892104187504	0	3
Q00526	CDK3	0.424828976096371	0.96657624451305	1.39140522060942	1.36235019142858	-1.89975108250687	-1.85928221566495	0.0479901725799488	4.44444444444444
P17252	PKC[alpha]	0.306888192733922	0.96657624451305	1.27346443724697	1.34126379355138	-1.7187338622556	-1.77364424364572	0.0852748765517014	21.5555555555556
Q15139	PKD1	0.330155764789338	0.96657624451305	1.29673200930239	1.30193426895692	-1.76188852916028	-1.76188852916028	0	5
Q13535	ATR	0.358364249979714	0.96657624451305	1.32494049449276	1.27815642251034	-1.78608157708005	-1.73405095496565	0.156091866343176	4.88888888888889
P31751	Akt2/PKB[beta]	0.323359286214026	0.96657624451305	1.28993553072708	1.25561312551777	-1.73148331455201	-1.72984355765479	0.060663865982614	19.2222222222222
P31749	Akt1/PKB[alpha]	0.306675022423782	0.96657624451305	1.27325126693683	1.24230037491226	-1.72294808060227	-1.72578195470609	0.0475218651487487	21.5555555555556
Q15759	p38[beta]	0.271646976639337	0.96657624451305	1.23822322115239	1.23822322115239	-1.65635572775552	-1.65635572775552	0	3
O60285	NuaK1	0.252555348372381	0.96657624451305	1.21913159288543	1.21683992894399	-1.60381474855584	-1.60381474855584	0	3
O96017	CHK2	0.302896189775144	0.96657624451305	1.26947243428819	1.20165325986316	-1.68470758661498	-1.69419110108453	0.196492347603333	14.4444444444444
P05129	PKC[gamma]	0.208655757157593	0.90220289993163	1.11085865708922	1.18410362034676	-1.54518072542267	-1.63928950535761	0.34841827683528	10.3333333333333
Q02156	PKC[epsilon]	0.205884087704833	0.96657624451305	1.17246033221788	1.1590412164442	-1.64318323965418	-1.64504872690122	0.0342846568265844	14.5555555555556
P50613	CDK7	0.22348097953874	0.96657624451305	1.19005722405179	1.14835035089909	-1.54278528590767	-1.57729706132347	0.236870168960269	6.55555555555556
